task,arm,seed,rerun_sw3,canon_sw3,kl_mean,kl_width,kl_resid,kl_analytic
walker,WML,301,789.16259765625,784.5498657226562,0.0830758661031723,0.005807745270431042,2.551823854446411e-07,0.09400376677513123
walker,WML,302,777.2047729492188,777.2047729492188,0.07446037232875824,0.003955049440264702,2.583838067948818e-07,0.08264002948999405
walker,WML,303,809.025390625,798.9025268554688,0.08305971324443817,0.0069375550374388695,2.641463652253151e-07,0.09430202096700668
walker,WML,304,710.2243041992188,710.2243041992188,0.08507809787988663,0.007093755062669516,2.631859388202429e-07,0.09671781957149506
walker,WML,305,869.93798828125,762.513671875,0.08186718076467514,0.003164218505844474,2.5411281967535615e-07,0.0893201231956482
walker,WML,306,717.0111694335938,717.0111694335938,0.08060675859451294,0.003894282504916191,2.565502654761076e-07,0.08864718675613403
walker,WML,307,874.4707641601562,887.083984375,0.07917267084121704,0.0035359219182282686,2.556189429014921e-07,0.08774811029434204
walker,WML,308,646.5341186523438,646.5341186523438,0.0780632495880127,0.0016465270891785622,2.5934423319995403e-07,0.08555598556995392
walker,PW,301,907.7703247070312,,0.07391396164894104,0.0013440083712339401,2.7645728550851345e-07,0.07764869928359985
walker,PW,302,889.1414184570312,,0.0734425038099289,0.0015352463815361261,2.582237357273698e-07,0.07809337228536606
walker,PW,303,929.9036254882812,,0.07230688631534576,0.0012327348813414574,2.828892320394516e-07,0.07579853385686874
walker,PW,304,832.3280639648438,,0.07431233674287796,0.0011610907968133688,2.642336767166853e-07,0.07804901897907257
walker,PW,305,911.3086547851562,,0.06648391485214233,0.0022449647076427937,2.6244379114359617e-07,0.07097897678613663
walker,PW,306,883.1041870117188,,0.07699961960315704,0.0016543902456760406,3.052409738302231e-07,0.0811244323849678
walker,PW,307,887.48095703125,,0.07373259961605072,0.0016381246969103813,2.916785888373852e-07,0.0774504691362381
walker,PW,308,917.3145141601562,,0.06733585149049759,0.001069315942004323,2.5662302505224943e-07,0.0700458511710167
g1,WML,301,15.535224914550781,15.624343872070312,0.0936286449432373,0.0016163578256964684,6.027985364198685e-07,0.09666904807090759
