task,arm,seed,score_window3
walker,eps05,301,784.5498657226562
walker,eps05,302,777.2047729492188
walker,eps05,303,798.9025268554688
walker,eps05,304,710.2243041992188
walker,eps05,305,762.513671875
walker,eps05,306,717.0111694335938
walker,eps05,307,887.083984375
walker,eps05,308,646.5341186523438
walker,eps01,301,881.4757690429688
walker,eps01,302,813.4620971679688
walker,eps01,303,854.7669067382812
walker,eps01,304,849.5408325195312
walker,eps01,305,802.2061157226562
walker,eps01,306,872.9984741210938
walker,eps01,307,779.1683959960938
walker,eps01,308,852.2538452148438
g1,eps05,301,15.624343872070312
g1,eps05,302,17.408456802368164
g1,eps05,303,14.528172492980957
g1,eps05,304,9.140506744384766
g1,eps05,305,15.917622566223145
g1,eps05,306,9.327510833740234
g1,eps05,307,11.835026741027832
g1,eps05,308,14.418231010437012
g1,eps01,301,-6.371382236480713
g1,eps01,302,-6.219499588012695
g1,eps01,303,-6.461238861083984
g1,eps01,304,-6.957770824432373
g1,eps01,305,-5.8224310874938965
g1,eps01,306,-5.779774188995361
g1,eps01,307,-6.776498317718506
g1,eps01,308,-6.450353145599365
leap,eps05,301,26.597076416015625
leap,eps05,302,17.76545524597168
leap,eps05,303,15.69115924835205
leap,eps05,304,21.786916732788086
leap,eps05,305,35.76767349243164
leap,eps05,306,23.265363693237305
leap,eps05,307,36.03861618041992
leap,eps05,308,33.860782623291016
leap,eps01,301,29.1961612701416
leap,eps01,302,14.475029945373535
leap,eps01,303,20.850351333618164
leap,eps01,304,38.94100570678711
leap,eps01,305,29.87137794494629
leap,eps01,306,16.029203414916992
leap,eps01,307,28.328168869018555
leap,eps01,308,27.644208908081055
